City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
535,ML,1584253707,14.0,-7.75,20,13,72.48,9.17
536,IN,1584253707,16.73,82.22,40,58,86.0,9.17
537,RE,1584253454,-21.37,55.62,67,69,84.2,19.46
538,VN,1584253708,11.92,109.16,40,74,87.8,16.11
539,RU,1584253708,58.7,81.48,99,98,33.87,12.68
540,US,1584253708,38.89,-76.51,90,87,43.0,10.29
541,US,1584253452,35.76,-83.97,90,87,55.99,12.75
542,RU,1584253708,44.63,41.95,100,58,42.8,11.18
543,AU,1584253708,-23.53,148.17,0,33,88.0,13.87
544,AZ,1584253709,39.03,46.72,33,60,53.19,2.3
545,BJ,1584253492,6.5,2.6,20,83,82.4,4.7
546,ML,1584253435,16.64,1.64,0,15,72.23,11.56
547,GT,1584253709,14.2,-91.3,12,75,79.61,4.76
548,AU,1584253709,-31.95,141.43,42,29,75.2,16.11
549,NZ,1584253412,-46.28,169.85,100,88,57.99,3.0
550,RU,1584253465,56.45,138.17,0,66,8.37,3.47
551,BR,1584253710,-19.17,-41.47,22,96,67.37,2.82
552,ZW,1584253710,-20.15,28.58,89,69,73.4,3.36
553,IT,1584253710,42.44,11.22,3,61,48.2,11.41
554,US,1584253590,36.04,-114.98,20,62,60.8,13.87
555,US,1584253710,32.35,-85.2,1,87,68.0,3.36
556,AU,1584253421,-23.7,133.88,90,20,87.8,10.29
557,IN,1584253710,19.17,75.18,60,19,86.86,9.66
558,GB,1584253711,51.75,-1.26,100,87,50.0,18.34
559,US,1584253711,32.86,-90.41,1,100,70.0,4.7
560,RU,1584253711,65.85,74.49,52,89,0.16,12.41
561,MX,1584253711,21.18,-98.62,94,93,69.31,2.19
562,MN,1584253711,45.76,106.27,48,22,43.18,21.88
563,RU,1584253711,51.68,94.73,100,74,20.03,1.01
564,GY,1584253711,3.38,-59.8,98,75,78.69,12.1
565,RU,1584253712,54.26,36.16,75,73,23.0,15.66
566,CO,1584253712,1.2,-70.17,98,86,74.14,0.56
